"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_octo_joyyou_sixty","fare_single_adult","fare_single_child","fare_single_elderly"
"15","10",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15","20",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","30",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","240",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","250",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","260",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","265",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","920",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","40",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","50",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","60",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","70",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","75",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","80",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","170",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","180",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","190",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","200",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"15","212",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","220",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","230",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","270",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","275",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","280",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","295",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","300",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","310",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","320",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","330",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"15","90",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","100",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","110",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"15","120",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","130",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","140",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","150",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","160",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","340",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"15","350",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"15","360",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"15","370",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"15","380",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","390",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","400",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","425",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","430",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","435",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","445",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","448",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","450",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","455",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","460",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","490",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","500",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","468",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","480",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","510",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","520",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","530",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","540",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","550",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","560",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","570",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","580",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"15","590",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","600",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"20","1",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","10",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","15",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"20","30",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","240",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","250",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","260",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","265",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","920",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","40",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","50",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","60",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","70",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","75",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","80",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","170",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","180",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","190",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","200",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","212",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","220",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","230",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","270",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","275",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","280",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","295",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"20","300",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","310",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","320",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","330",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"20","90",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","100",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","110",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","120",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","130",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","140",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","150",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","160",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","340",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","350",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"20","360",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"20","370",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"20","380",6.10,3.00,2.00,2.00,3.00,2.00,8.00,4.00,4.00
"20","390",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","400",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","425",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","430",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","435",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","445",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","448",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","450",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","455",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","460",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","490",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","500",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","468",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","480",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","510",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","520",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"20","530",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
